# hostname;interval;timestamp;CPU;%user;%nice;%system;%iowait;%steal;%idle[...]
labiot72;60;2021-10-14 00:47:01 UTC;-1;10.50;0.01;13.04;0.38;0.00;76.07
labiot72;60;2021-10-14 00:48:01 UTC;-1;10.68;0.01;13.25;0.42;0.00;75.63
labiot72;60;2021-10-14 00:49:01 UTC;-1;10.32;0.02;12.72;0.37;0.00;76.58
labiot72;59;2021-10-14 00:50:00 UTC;-1;10.60;0.00;12.86;0.40;0.00;76.14
labiot72;1;2021-10-14 00:50:01 UTC;-1;10.94;0.00;14.44;0.22;0.00;74.40
labiot72;60;2021-10-14 00:51:01 UTC;-1;10.09;0.02;12.93;0.35;0.00;76.62
labiot72;60;2021-10-14 00:52:01 UTC;-1;10.74;0.02;12.87;0.51;0.00;75.86
labiot72;60;2021-10-14 00:53:01 UTC;-1;10.27;0.01;12.90;0.40;0.00;76.42
labiot72;60;2021-10-14 00:54:01 UTC;-1;10.65;0.00;13.05;0.55;0.00;75.74
labiot72;60;2021-10-14 00:55:01 UTC;-1;10.50;0.02;12.88;0.44;0.00;76.16
labiot72;60;2021-10-14 00:56:01 UTC;-1;10.42;0.01;13.08;0.43;0.00;76.06
labiot72;60;2021-10-14 00:57:01 UTC;-1;10.62;0.00;12.90;0.38;0.00;76.09
labiot72;60;2021-10-14 00:58:01 UTC;-1;10.52;0.00;13.03;0.39;0.00;76.06
labiot72;60;2021-10-14 00:59:02 UTC;-1;10.14;0.00;12.64;0.41;0.00;76.80
labiot72;58;2021-10-14 01:00:00 UTC;-1;10.59;0.01;13.46;0.41;0.00;75.53
labiot72;1;2021-10-14 01:00:01 UTC;-1;13.79;0.00;16.09;0.29;0.00;69.83
labiot72;60;2021-10-14 01:01:01 UTC;-1;10.42;0.00;13.01;0.37;0.00;76.20
labiot72;60;2021-10-14 01:02:01 UTC;-1;10.65;0.01;12.85;0.54;0.00;75.95
labiot72;60;2021-10-14 01:03:01 UTC;-1;10.43;0.00;12.64;0.59;0.00;76.33
labiot72;60;2021-10-14 01:04:01 UTC;-1;10.36;0.01;12.96;0.37;0.00;76.30
labiot72;60;2021-10-14 01:05:01 UTC;-1;10.50;0.00;12.54;0.35;0.00;76.61
labiot72;60;2021-10-14 01:06:01 UTC;-1;10.20;0.00;13.25;0.43;0.00;76.13
